consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
Japan,Tungsten,2015,0.29325016107186724,0.16954670327450566,0.3068626202364381,0.1765449119571969,17,CHN,0.5142093721471698,109.615927
Japan,Tungsten,2016,0.3562826387139018,0.20412288307212903,0.3812370078513601,0.21905796808826072,20,CHN,0.5843986497232094,82.988022
Japan,Tungsten,2017,0.46929030741634703,0.25840704188146546,0.4482624413627558,0.24651956748899406,20,CHN,0.6799705900363591,111.852381736
Japan,Tungsten,2018,0.5649136606970477,0.3136106469468509,0.5525841641505708,0.30656352268996845,19,CHN,0.7493445953327373,178.886664768
Japan,Tungsten,2019,0.561357535554139,0.3078618196182025,0.6249987171044268,0.34300582162523574,17,CHN,0.7466994602228049,142.62511961
Japan,Tungsten,2020,0.5032385006565402,0.28025603410904193,0.6564663718248956,0.3662407028988759,18,CHN,0.7064720060646156,87.33526535
Japan,Tungsten,2021,0.5267587396424557,0.29160988584190667,0.6112345301639737,0.33873496034708206,20,CHN,0.7230961944827626,141.83583098699998
Japan,Tungsten,2022,0.5682447758567675,0.3178491548870673,0.625325588016969,0.3499429378148241,17,CHN,0.7511584268366673,162.317605047
Japan,Tungsten,2023,0.5294386660986584,0.29252788035471805,0.5188939653524033,0.2869125043822889,18,CHN,0.7249776415389603,123.226496677
Japan,Vanadium,2015,0.17254578012708888,0.08032730481960505,0.2605663627054101,0.14174915616970452,17,CHN,0.3003723518311813,54.61669125
Japan,Vanadium,2016,0.18426378964688606,0.09215526156193896,0.25989652163830085,0.13799722295962347,15,CHN,0.32561155665374475,34.38893375
Japan,Vanadium,2017,0.2790358749554507,0.13443018305753754,0.3829621961777458,0.20112778298572212,17,CHN,0.43182528061209063,45.77547683575
Japan,Vanadium,2018,0.33591340747976633,0.17243306645534165,0.5149949266650335,0.28524639666217255,15,CHN,0.5234665954265239,91.94259870399999
Japan,Vanadium,2019,0.30908858506715814,0.16023898390727484,0.5073257883130982,0.27838192542323953,13,CHN,0.5097976113408068,54.2768003345
Japan,Vanadium,2020,0.2524423938302571,0.12552664874764835,0.5221027414434097,0.2905441738092781,14,CHN,0.4315294303088399,28.163762543500003
Japan,Vanadium,2021,0.2935132602635425,0.1590544408253336,0.510241874256236,0.28353857191101256,14,CHN,0.5090725403764403,35.120461141999996
Japan,Vanadium,2022,0.29659989457227126,0.16272797387048152,0.4305117188698843,0.2413234312080784,13,CHN,0.5138161441691552,47.39652213075
Japan,Vanadium,2023,0.228385045554435,0.12259831761869329,0.44380725561734696,0.24715474119881212,13,CHN,0.3973240258667538,39.85053843575
Japan,Zirconium,2015,0.3921112410352587,0.1211500371004037,0.5029273692170895,0.12049857715439427,9,AUS,0.549876139078514,56.260279
Japan,Zirconium,2016,0.28071026823838763,0.1471848996971606,0.2648585932391133,0.1052840748341792,9,RUS,0.4057124816808925,36.787409
Japan,Zirconium,2017,0.2945582206150985,0.11607955626244928,0.3419115045145427,0.11461795036366079,9,AUS,0.38608512495277614,37.199005729
Japan,Zirconium,2018,0.3428752656854742,0.10150968183239541,0.3851898691373336,0.10844178923013104,9,AUS,0.5079204426336484,80.24017904
Japan,Zirconium,2019,0.3687427184857296,0.1254074743266802,0.44120674447230873,0.10241564948880251,9,AUS,0.4987499518933541,60.53919253
Japan,Zirconium,2020,0.321085175050627,0.10563950681537503,0.40383585375833975,0.09460670233783072,9,AUS,0.48087803190116296,35.849480501
Japan,Zirconium,2021,0.34259113324507795,0.09046278210337746,0.43994794488206096,0.09978987375441832,10,AUS,0.5498724793237145,40.061564907
Japan,Zirconium,2022,0.21453798768885965,0.06439169072762181,0.41943546112905916,0.09808972404798853,12,AUS,0.37448093618130585,99.729429476
Japan,Zirconium,2023,0.21207057011811908,0.05866902936000261,0.39473749435941885,0.0902404608364447,15,AUS,0.3649662618512035,82.88123533
Korea,Aluminium,2015,0.06290692073945907,0.02578110446376078,0.09184871892131508,0.031216890275252113,44,CHN,0.1512814742294604,5829.349142
